CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
44017110;ANDAQUI  - AUT;mocoa;putumayo;caqueta
25025002;LOS ALAMOS;san sebastian de buenavista;magdalena;bajo magdalena
54050010;PR CHOCO: NOANAMA;istmina;choco;san juan
25017020;SAN PEDRO - AUT;puerto libertador;cordoba;bajo magdalena- cauca -san jorge
21205503;EL DELIRIO- CAR;el colegio;cundinamarca;alto magdalena
26145508;SAN JOSE  - AUT;san jose;caldas;cauca
24017330;PTE LA BALSA - CAR;lenguazaque;cundinamarca;sogamoso
15075150;PAICI - AUT;uribia;la guajira;caribe - guajira
2120000109;COLEGIO RODOLFO LLINAS - AUT;bogota;bogota;alto magdalena
23105060;VEGACHA;vegachi;antioquia;medio magdalena
21217200;CARMEN EL;rovira;tolima;alto magdalena
21217180;MONTEZUMA - RIO COMBEIMA;ibague;tolima;alto magdalena
26175502;LA CRISTALINA  - AUT;tamesis;antioquia;cauca
23015501;FRESNO  - AUT;fresno;tolima;medio magdalena
55015020;PR CHOCO: BAJO BAUDO;quibdo;choco;baudo - directos pacifico
53119010;BUENAVENTURA IDEAM  - AUT;buenaventura;valle del cauca;tapaje - dagua - directos
35215030;PERENCO: PISBA;pisva;boyaca;meta
21209170;PTE CHOCONTA - CAR;choconta;cundinamarca;alto magdalena
3505500061;MEDINA - AUT;medina;cundinamarca;meta
26135290;MARSELLA - AUT;marsella;risaralda;cauca
35077180;CULIMA - CHIVOR RIO BATA;santa maria;boyaca;meta
26125710;APTO MATECAÑA TX GPS/GOES;pereira;risaralda;cauca
26155230;EMAS - AUT;manizales;caldas;cauca
53075020;EL DIVISO - AUT;argelia;cauca;tapaje - dagua - directos
27015280;PARAMO BELMIRA - AUT;entrerrios;antioquia;nechi
27027060;BRISAS DEL NECHI  - AUT;angostura;antioquia;nechi
16037030;PUENTE SARDINATA - AUT;sardinata;norte de santander;catatumbo
15067200;EL SILENCIO;fonseca;la guajira;caribe - guajira
26125290;ARMENIA - AUT;armenia;quindio;cauca
2120000107;LA FISCALA - AUT;bogota;bogota;alto magdalena
26180180;SONSON;sonson;antioquia;cauca
52077010;PUENTE PUSMEO - AUT;cumbitara;narino;patia
3206500059;VISTA HERMOSA - AUT;vistahermosa;meta;guaviare
1602500044;GRAMALOTE - AUT;gramalote;norte de santander;catatumbo
27037030;SAN JUAN NECHI;zaragoza;antioquia;nechi
21206890;CERRO CAZADORES - FOPAE;bogota;bogota;alto magdalena
21201580;PASQUILLA - FOPAE;bogota;bogota;alto magdalena
26247020;LA COQUERA;caucasia;antioquia;bajo magdalena- cauca -san jorge
24017705;LA BALSA CHIQUINQUIRA - CAR;chiquinquira;boyaca;sogamoso
21205507;CACHIPAY - CAR;cachipay;cundinamarca;alto magdalena
3206500045;GRANADA SENA - AUT;granada;meta;guaviare
21105501;ALGECIRAS  - AUT;algeciras;huila;alto magdalena
26165502;JARDIN  - AUT;jardin;antioquia;cauca
35167020;PR TOTA: LAGO DE TOTA;aquitania;boyaca;meta
21202270;PLUVIOMETROS IDEAM BOGOTA Pruebas GPRS;bogota;bogota;alto magdalena
26055501;GINEBRA  - AUT;ginebra;valle del cauca;cauca
35217080;PERENCO: LA CABANA - TERMO ELECTRICA;<nil>;<nil>;<nil>
26155170;TESORITO FINCA  - AUT;manizales;caldas;cauca
44197020;VILLAREAL - RIO CAQUETA;la pedrera;amazonas;caqueta
15067150;PTE GUAJIRO - En Siniestro;barrancas;la guajira;caribe - guajira
54015020;PR CHOCO: TADO;tado;choco;san juan
2805500075;CURUMANÍ - AUT;curumani;cesar;cesar
3508700103;PUENTE CAMPANA - AUT;santa maria;boyaca;meta
52035501;EL SAUCE  - AUT;la union;narino;patia
52057100;RUMICHACA - RIO GUAITARA;ipiales;narino;patia
2120000101;ALTOS DE LA ESTANCIA - AUT;bogota;bogota;alto magdalena
13027040;CAÑO BARRO - LA MOJANA;ayapel;cordoba;sinu
35237030;PERENCO: TRINIDAD PAUTO - PUENTE NONATO;trinidad;casanare;meta
24015509;ARCABUCO - ISAGEN - Estacion en Pruebas;arcabuco;boyaca;sogamoso
52020070;SANTIAGO;san sebastian;cauca;patia
21207714;LA PRADERA - CAR;subachoque;cundinamarca;alto magdalena
1602500063;MUTISCUA - AUT;mutiscua;norte de santander;catatumbo
35077320;CARACOL - CHIVOR;garagoa;boyaca;meta
2804500076;PALMARITO - AUT;pueblo bello;cesar;cesar
23065502;LA PALMA  - AUT;la palma;cundinamarca;medio magdalena
21207702;GRANJA BOSCONIA - CAR;apulo;cundinamarca;alto magdalena
24015506;CAPELLANIA - CAR;fuquene;cundinamarca;sogamoso
11117040;MUTATA  - AUT;mutata;antioquia;atrato - darien
24010390;El TRIANGULO - CAR;lenguazaque;cundinamarca;sogamoso
54020020;PR CHOCO: NOVITA;novita;choco;san juan
36037020;ESTACION HIDROMETRICA QUEBRADA LA GALLINAZA;tame;arauca;casanare
2202500051;PLANADAS - AUT;planadas;tolima;saldana
28025502;APTO ALFONSO LOPEZ;valledupar;cesar;cesar
25025330;COLEGIO AGROPECUARIO PAILITAS  - AUT;pailitas;cesar;cesar
54037050;PR CHOCO: SIPI;sipi;choco;<nil>
48015010;APTO VASQUEZ COBO TX GPRS/GOES;leticia;amazonas;<nil>
21227010;PIEDRAS  - AUT;piedras;tolima;alto magdalena
23065504;VIANI - CAR;viani;cundinamarca;medio magdalena
21195502;AGUAS CLARAS - CAR;san bernardo;cundinamarca;alto magdalena
35025501;QUETAME  - AUT;quetame;cundinamarca;meta
24015504;RAQUIRA - CAR;raquira;boyaca;sogamoso
1111500036;ABRIAQUI - AUT;abriaqui;antioquia;atrato - darien
26195501;ANDES  - AUT;andes;antioquia;cauca
2612500038;CRQ ARMENIA - AUT;circasia;quindio;cauca
54020090;PR CHOCO: APTO CONDOTO;condoto;choco;<nil>
35227020;PERENCO: OROCUE PIPESCA;<nil>;<nil>;<nil>
28017140;CORRAL DE PIEDRA  - AUT;san juan del cesar;la guajira;cesar
